Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Sale price,Categories,Tags,Images,External URL,Button text,Meta: _affiliate_network,Meta: _merchant_brand
"external","cj-396171f91d96be517603","Adam Wolfe - All Episodes","1","1","visible","Step into the shoes of Adam Wolfe, investigator of the supernatural. Driven by your sister's mysterious disappearance, take to the brooding streets of San Fr...","Step into the shoes of Adam Wolfe, investigator of the supernatural. Driven by your sister's mysterious disappearance, take to the brooding streets of San Fr...","none","1","","19.99","0.49","Fashion","cj,fashion,plugindigital","https://www.yuplay.com/media/products/adam-wolfe-all-episodes/616/4a550f8e47a18b1c1b055252d96affbf7fd50fc4.jpg","https://www.yuplay.com/product/adam-wolfe-all-episodes/?partner=cj","Ver Oferta","CJ","Plug In Digital"
"external","cj-131ba6c89971c1d8f51b","Slash It 2","1","1","visible","Slash It 2 is a 2D colorful arcade game. The goal is to press letters, numbers and type words in the right time and direction.","Slash It 2 is a 2D colorful arcade game. The goal is to press letters, numbers and type words in the right time and direction.","none","1","","39.99","1.14","Accessories","cj,accessories,saindustry","https://www.yuplay.com/media/products/slash-it-2/616/d7c0b4e8e47d4aeeacae693b6cdd28fc3da977fb.jpg","https://www.yuplay.com/product/slash-it-2/?partner=cj","Ver Oferta","CJ","SA Industry"
"external","cj-106b954aca053cb59e4c","The Sundew","1","1","visible","You are Anna Isobe, a cyborg cop abandoned by progress and thrust into the midst of a global conspiracy. Experience classic point and click gameplay as you t...","You are Anna Isobe, a cyborg cop abandoned by progress and thrust into the midst of a global conspiracy. Experience classic point and click gameplay as you t...","none","1","","12.49","0.36","Accessories","cj,accessories,2054","https://www.yuplay.com/media/products/the-sundew/616/fa140149315239fdf5ef20cd93d7f5b8697a28b1.jpg","https://www.yuplay.com/product/the-sundew/?partner=cj","Ver Oferta","CJ","2054"
"external","cj-00f17c3d08ee0b9a8d3d","Bus Driver Simulator","1","1","visible","Complete journeys around the city and its suburbs, strictly following the schedule. Earn money by successfully delivering passengers and following the traffi...","Complete journeys around the city and its suburbs, strictly following the schedule. Earn money by successfully delivering passengers and following the traffi...","none","1","","24.99","0.74","Accessories","cj,accessories,kishmishgames","https://www.yuplay.com/media/products/bus-driver-simulator/616/d518952be571c3e8a76878920619c0558be8954e.jpg","https://www.yuplay.com/product/bus-driver-simulator/?partner=cj","Ver Oferta","CJ","KishMish Games"
"external","cj-264f1bd52ff7f9c4b4f5","Puppet Kings","1","1","visible","In a land where The Ancient Law states that kings of the four races should take turns to rule, the current king is determined to rule forever. But to do it h...","In a land where The Ancient Law states that kings of the four races should take turns to rule, the current king is determined to rule forever. But to do it h...","none","1","","9.99","0.30","Accessories","cj,accessories,plugindigital","https://www.yuplay.com/media/products/puppet-kings/616/7335265656ef5aff265c9efaa541ccdd38c0710c.jpg","https://www.yuplay.com/product/puppet-kings/?partner=cj","Ver Oferta","CJ","Plug In Digital"
"external","cj-2c9df3a6221cbf60c6c9","The Inner World","1","1","visible","Robert is a novice, a bit clueless, but with a heart of gold. He lives a peaceful life as a court musician in Asposia's largest wind monastery. Contrary to t...","Robert is a novice, a bit clueless, but with a heart of gold. He lives a peaceful life as a court musician in Asposia's largest wind monastery. Contrary to t...","none","1","","13.99","0.46","Accessories","cj,accessories,headup","https://www.yuplay.com/media/products/the-inner-world/616/25e85741eeddd05dd8f4387225952762bf7a46e1.jpg","https://www.yuplay.com/product/the-inner-world/?partner=cj","Ver Oferta","CJ","Headup"
"external","cj-2a2a0d6fa078cd7d58f5","This Means Warp","1","1","visible","It's co-op space survival fun, Jim, but not as we know it. This Means Warp is an intense spaceship management roguelite experience for 1-4 players. Explore a...","It's co-op space survival fun, Jim, but not as we know it. This Means Warp is an intense spaceship management roguelite experience for 1-4 players. Explore a...","none","1","","19.99","0.66","Accessories","cj,accessories,jagex","https://www.yuplay.com/media/products/this-means-warp/616/ee39905b268f9d1a637dd00b2447d622b09d79b1.jpg","https://www.yuplay.com/product/this-means-warp/?partner=cj","Ver Oferta","CJ","Jagex"
"external","cj-373d5d9ca699076c4ac1","Zoeti","1","1","visible","Zoeti is a turn-based roguelite that features a deck of playing cards used to create card combos and activate skills in the heat of battle.","Zoeti is a turn-based roguelite that features a deck of playing cards used to create card combos and activate skills in the heat of battle.","none","1","","19.99","0.66","Accessories","cj,accessories,akuparagames","https://www.yuplay.com/media/products/zoeti/616/bbb9bb3d207b4d5c005ff8d98ad419ecd8c92fa6.jpg","https://www.yuplay.com/product/zoeti/?partner=cj","Ver Oferta","CJ","Akupara Games"
"external","cj-25bc0f18ab92b6e6e319","You Suck at Parking - Complete Edition","1","1","visible","You Suck at Parking is the only racing game where your goal is to stop and parking your ride is more important than your driving skills.","You Suck at Parking is the only racing game where your goal is to stop and parking your ride is more important than your driving skills.","none","1","","19.50","0.67","Books","cj,books,curvegames","https://www.yuplay.com/media/products/you-suck-at-parking-complete-edition/616/aa795193a271a8e5884564bb3392c13961c371c2.jpg","https://www.yuplay.com/product/you-suck-at-parking-complete-edition/?partner=cj","Ver Oferta","CJ","Curve Games"
"external","cj-1869df667777cd268cdf","Bridge Constructor Medieval","1","1","visible","Dive into the Middle Ages and play the successor to the worldwide #1 hit, Bridge ConstructorBridge Constructor Medieval turns back the clock a few centuries ...","Dive into the Middle Ages and play the successor to the worldwide #1 hit, Bridge ConstructorBridge Constructor Medieval turns back the clock a few centuries ...","none","1","","9.99","0.36","Accessories","cj,accessories,headup","https://www.yuplay.com/media/products/bridge-constructor-medieval/616/bc909eb6a9ac1b8887f37daa67ed08ea1102d571.jpg","https://www.yuplay.com/product/bridge-constructor-medieval/?partner=cj","Ver Oferta","CJ","Headup"
"external","cj-2f5c27138a8abfa59751","Men of War: Assault Squad","1","1","visible","Like previous games in the series, Men of War: Assault Squad  includes the unique &#8220;direct control&#8221; feature which enables players to  maneuver uni...","Like previous games in the series, Men of War: Assault Squad  includes the unique &#8220;direct control&#8221; feature which enables players to  maneuver uni...","none","1","","9.99","0.36","Accessories","cj,accessories,fulqrumpublishing","https://www.yuplay.com/media/products/men-of-war-assault-squad/616/c14b1bbca5eb91baeb6208a13c2d9b261fcf14e0.jpg","https://www.yuplay.com/product/men-of-war-assault-squad/?partner=cj","Ver Oferta","CJ","Fulqrum Publishing"
"external","cj-0792e0d308ffa4b41c7f","My Little Riding Champion","1","1","visible","Your horse. Your passion.","Your horse. Your passion.","none","1","","29.99","1.09","Accessories","cj,accessories,toplitzproductions","https://www.yuplay.com/media/products/my-little-riding-champion/616/03ed7266b94ef327e13250e624580f8351b4ae07.jpg","https://www.yuplay.com/product/my-little-riding-champion/?partner=cj","Ver Oferta","CJ","Toplitz Productions"
"external","cj-187e110581a81225d82e","Helheim Hassle","1","1","visible","Helheim Hassle is a narrative adventure game that is as much about friendship as it is about body parts.","Helheim Hassle is a narrative adventure game that is as much about friendship as it is about body parts.","none","1","","19.99","0.73","Accessories","cj,accessories,theyogscast","https://www.yuplay.com/media/products/helheim-hassle/616/6cb0ab51c25fce664fdf641629d5d0c29cf8d81a.jpg","https://www.yuplay.com/product/helheim-hassle/?partner=cj","Ver Oferta","CJ","The Yogscast"
"external","cj-00777ab33273b40d48cb","5 Star Miami Resort","1","1","visible","In the Champions League of hotel management Lucy has to tackle her next mega project: creating a ground-breaking hotel resort in Miami. And you are her helpf...","In the Champions League of hotel management Lucy has to tackle her next mega project: creating a ground-breaking hotel resort in Miami. And you are her helpf...","none","1","","8.99","0.33","Accessories","cj,accessories,familyplay","https://www.yuplay.com/media/products/5-star-miami-resort/616/e3f638c97aa03880bccf3aaeab135ca0e94b0e3b.jpg","https://www.yuplay.com/product/5-star-miami-resort/?partner=cj","Ver Oferta","CJ","familyplay"
"external","cj-3fa5c30cbc8ff6a83aac","Zombie Solitaire 2 Chapter 1","1","1","visible","Your escape from the zombies continues - now with even more of a bite! Play your cards right and escape the blood-thirsty zombies and their hunger for human ...","Your escape from the zombies continues - now with even more of a bite! Play your cards right and escape the blood-thirsty zombies and their hunger for human ...","none","1","","8.99","0.33","Accessories","cj,accessories,rokaplay","https://www.yuplay.com/media/products/zombie-solitaire-2-chapter-1/616/a36707b951e82c558d5cc8cc6a19525ba216f558.jpg","https://www.yuplay.com/product/zombie-solitaire-2-chapter-1/?partner=cj","Ver Oferta","CJ","rokaplay"
"external","cj-25534fdfddf275b897d0","My Vet Practice - Marine Patrol","1","1","visible","Your very own vet practice at the ocean! In the north of Canada the most popular creatures of the coast and sea need your help. Along with other young vets y...","Your very own vet practice at the ocean! In the north of Canada the most popular creatures of the coast and sea need your help. Along with other young vets y...","none","1","","14.99","0.56","Accessories","cj,accessories,familyplay","https://www.yuplay.com/media/products/my-vet-practice-marine-patrol/616/4ab58c2f53838cb00934d688c8dffe8e08df3dcc.jpg","https://www.yuplay.com/product/my-vet-practice-marine-patrol/?partner=cj","Ver Oferta","CJ","familyplay"
"external","cj-1a0580a987574ddec9f3","Minute of Islands","1","1","visible","You are Mo, a skilled tinkerer, living with her family on a pastoral archipelago, once inhabited by an ancient race of inscrutable giants. Their otherworldly...","You are Mo, a skilled tinkerer, living with her family on a pastoral archipelago, once inhabited by an ancient race of inscrutable giants. Their otherworldly...","none","1","","19.99","0.78","Home","cj,home,assembleentertainment","https://www.yuplay.com/media/products/minute-of-islands/616/f62cd1b3b83e71ba2fe2022379471f6918593e2e.jpg","https://www.yuplay.com/product/minute-of-islands/?partner=cj","Ver Oferta","CJ","Assemble Entertainment"
"external","cj-39050b45c18f003d1e58","City Patrol Police","1","1","visible","Attention! The City Patrol Special Unit is recruiting new members &#8212; and they want YOU! Enforce order in the city's streets and highways, be the arm of ...","Attention! The City Patrol Special Unit is recruiting new members &#8212; and they want YOU! Enforce order in the city's streets and highways, be the arm of ...","none","1","","24.99","0.98","Accessories","cj,accessories,topwareinteractive","https://www.yuplay.com/media/products/city-patrol-police/616/5c32137505d7c8e0435df3e59d2cfc27d7f00429.jpg","https://www.yuplay.com/product/city-patrol-police/?partner=cj","Ver Oferta","CJ","TopWare Interactive"
"external","cj-07321bacd1d085af71a0","Beat Cop","1","1","visible","New York, more like a beast than a city. Explore it's darkest corners and uncover its secrets as Jack Kelly, a former detective who has been framed for a mur...","New York, more like a beast than a city. Explore it's darkest corners and uncover its secrets as Jack Kelly, a former detective who has been framed for a mur...","none","1","","14.99","0.60","Accessories","cj,accessories,11bitstudios","https://www.yuplay.com/media/products/beat-cop/616/fbf344a32b0733cca497f121fd7b33fd12721a3c.jpg","https://www.yuplay.com/product/beat-cop/?partner=cj","Ver Oferta","CJ","11 bit studios"
"external","cj-1e6ec79737af59847717","Starsand","1","1","visible","Your day started as planned. Motivated and full of ambition you started the run of your life, in the middle of the desert, surrounded by like-minded people. ...","Your day started as planned. Motivated and full of ambition you started the run of your life, in the middle of the desert, surrounded by like-minded people. ...","none","1","","16.79","0.68","Accessories","cj,accessories,toplitzproductions","https://www.yuplay.com/media/products/starsand/616/9e2ca630a1554910c864ebf3b2ac6ab4ba7bff3c.jpg","https://www.yuplay.com/product/starsand/?partner=cj","Ver Oferta","CJ","Toplitz Productions"
"external","cj-3417dca8092e7a9beebc","Ludo XXL","1","1","visible","The popular dice game for the whole family!This classic game par excellence has brought young and old together for generations. The much-loved original, with...","The popular dice game for the whole family!This classic game par excellence has brought young and old together for generations. The much-loved original, with...","none","1","","14.99","0.61","Accessories","cj,accessories,familyplay","https://www.yuplay.com/media/products/ludo-xxl/616/aed7961c1d9b3e483831c338af003ceb693faf9f.jpg","https://www.yuplay.com/product/ludo-xxl/?partner=cj","Ver Oferta","CJ","familyplay"
